Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	0.724678	0.388916s	0.001
2	0.835683	0.661741	1.32944s	0.001
3	0.585751	0.657051	0.941022s	0.001
4	0.60984	0.640487	0.932561s	0.001
5	0.5454	0.649859	0.940827s	0.001
6	0.482441	0.62235	0.93635s	0.001
7	0.538813	0.63687	0.935476s	0.001
8	0.437008	0.684063	0.95443s	0.001
9	0.513959	0.730727	0.950467s	0.001
10	0.389358	0.784728	0.942196s	0.001
11	0.338409	0.801517	0.93801s	0.001
12	0.331973	0.779947	0.949923s	0.001
13	0.337874	0.822291	0.934848s	0.001
14	0.377616	0.834647	0.940547s	0.001
15	0.341575	0.819612	0.939622s	0.001
16	0.317494	0.803029	0.969353s	0.001
17	0.299107	0.835475	1.25868s	0.001
18	0.288789	0.830124	0.981829s	0.001
19	0.347338	0.86003	0.941185s	0.001
20	0.298555	0.85572	0.944538s	0.001
